|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasPayments|hasProperty|hasSolutions
0|37coins|25000.0|Bitcoin|25000|operating|USA|Sunnyvale|1|2014.0|financials|0|0|0
1|42Floors|400000.0|Commercial Real Estate|17400000|operating|USA|San Francisco|4|2011.0|financials|0|0|0
2|99 Fahrenheit|1380700.0|Finance|1380700||ITA|Milan|1|2011.0|financials|0|0|0
3|ADVIZE|736050.0|Finance Technology|736050|operating|FRA|Boulogne-billancourt|1|2011.0|financials|0|0|0
4|AGILE customer insight|640000.0|Banking|640000|operating|GBR|London|1|2011.0|financials|0|0|0
5|AccelGolf|18000.0|Finance|457282|closed|USA|Cambridge|7|2008.0|financials|0|0|0
6|Activehours|4099999.0|Financial Services|4099999|operating|USA|Palo Alto|1|2012.0|financials|0|0|0
7|AgentBridge|250000.0|Real Estate|250000|operating|USA|Rolling Hills Estates|1|2013.0|financials|0|0|0
8|Akredo|75000.0|Personal Finance|75000|operating|POL|Warsaw|1|2014.0|financials|0|0|0
9|Alekto|50000.0|Credit|50000|closed|USA|Durham|1|2012.0|financials|0|0|0
10|AlphaClone|750000.0|Stock Exchanges|1400000|operating|USA|San Francisco|3|2008.0|financials|0|0|0
11|AlumniFunder|125000.0|Finance|125000|operating|USA|Santa Monica|1|2012.0|financials|0|0|0
12|AlwaySupport|300000.0|Knowledge Management|300000|operating|||1|2014.0|financials|0|0|0
13|AmpIdea|18000.0|Finance|18000|closed|||1|2008.0|financials|0|0|0
14|ApexPeak|1840000.0|Finance|1840000||SGP|Singapore|1|2013.0|financials|0|0|0
15|ApplePie Capital|3770000.0|Financial Services|7540000|operating|||2|2013.0|financials|0|0|0
16|Apptentive|1200000.0|Finance|6515000|operating|USA|Seattle|4|2011.0|financials|0|0|0
17|Architizer|2000000.0|Real Estate|3508711|operating|USA|New York|3|2009.0|financials|0|0|0
18|ArgoPay|500000.0|Mobile Payments|500000|operating|USA|Boston|1|2013.0|financials|0|0|0
19|AssetAvenue|3000000.0|Real Estate Investors|3000000|operating|USA|Los Angeles|1|2013.0|financials|0|0|0
20|Avosoft|100000.0|Finance|100000|operating|USA|Cincinnati|1|2010.0|financials|0|0|0
21|Avuba|19299.0|Finance|569299|operating|DEU|Berlin|2|2013.0|financials|0|0|0
22|Azimo|1000000.0|Financial Services|11000000|operating|||2|2012.0|financials|0|0|0
23|BISON|1235000.0|Venture Capital|1235000|operating|USA|Boston|2|2011.0|financials|0|0|0
24|BTC.sx|300000.0|Financial Services|450000|operating|SGP|Singapore|2|2013.0|financials|0|0|0
25|BTCJam|1200000.0|Bitcoin|1200000|operating|USA|San Francisco|1|2013.0|financials|0|0|0
26|BeanJockey|40000.0|Finance|40000|operating|USA|New York|1|2012.0|financials|0|0|0
27|BeeFirst.in|9522.0|Incentives|9522|closed|||1|2010.0|financials|0|0|0
28|Bench|2000000.0|Finance|3000000|operating|CAN|Vancouver|3|2012.0|financials|0|0|0
29|Better ATM Services|1000000.0|Finance|1000000|operating|USA|Mesa|1|2004.0|financials|0|0|0
30|Bikmo|151978.0|Price Comparison|151978|operating|GBR|Chester|1|2011.0|financials|0|0|0
31|Bilbus|72440.0|Finance|72440|operating|GBR|London|1|2010.0|financials|0|0|0
32|Bipsync|1500000.0|Stock Exchanges|1500000|operating|USA|Palo Alto|1|2012.0|financials|0|0|0
33|BitX|800000.0|Financial Services|800000|operating|IND|Mumbai|1|2013.0|financials|0|0|0
34|Bitbond|267293.0|Personal Finance|267293|operating|DEU|Berlin|1|2013.0|financials|0|0|0
35|Bitex.la|2000000.0|Bitcoin|2000000|operating|NLD|Amsterdam|1|2014.0|financials|0|0|0
36|BlockTrail|669209.0|Bitcoin|669209|operating|USA|Amsterdam|1|2014.0|financials|0|0|0
37|Boardvote|200000.0|Finance|450000|operating|USA|New York|2|2012.0|financials|0|0|0
38|Bolster|750000.0|Financial Services|750000|operating|USA|New York|1|2012.0|financials|0|0|0
39|Bonafide|100000.0|Bitcoin|100000|operating|USA|Rochester|1|2013.0|financials|0|0|0
40|Bountii|15000.0|Venture Capital|15000|operating|USA|Palo Alto|1|2007.0|financials|0|0|0
41|BrandFiesta|100000.0|Moneymaking|100000|operating|USA|New York|1|2011.0|financials|0|0|0
42|Brickx|931087.0|Real Estate|931087|operating|AUS|Sydney|1|2014.0|financials|0|0|0
43|Brightkite|15000.0|Finance|2094920|acquired|USA|Burlingame|4|2007.0|financials|0|0|0
44|BudgetSimple|25000.0|Finance|25000|operating|USA|Pittsburgh|1|2006.0|financials|0|0|0
45|BusyEvent|50000.0|Lead Management|665000|operating|USA|St Louis|3|2006.0|financials|0|0|0
46|Buxfer|15000.0|Finance|315000|operating|USA|Mountain View|2|2007.0|financials|0|0|0
47|BuysideFX|50000.0|Finance|1369974|operating|USA|Burlington|3|2000.0|financials|0|0|0
48|CHEQROOM|262634.0|Intellectual Asset Management|262634|operating|BEL|Brussels|1|2013.0|financials|0|0|0
49|CUneXus Solutions|35000.0|Credit Cards|670000|operating|USA|Santa Rosa|6|2008.0|financials|0|0|1
50|Capshare|1000000.0|Finance Technology|1000000|operating|USA|Sandy|1|2011.0|financials|0|0|0
51|CardFlight|1600000.0|Payments|2350000|operating|USA|New York|2|2013.0|financials|0|0|0
52|Cardley|475000.0|Financial Services|475000|operating|USA|Chicago|1|2012.0|financials|0|0|0
53|Chain|4200000.0|Bitcoin|13700000|operating|USA|San Francisco|2|2014.0|financials|0|0|0
54|Chalet Tech|1500000.0|Financial Services|1500000|operating|USA|San Jose|1|2008.0|financials|0|0|0
55|Chargeback|648887.0|Finance|3325510|operating|USA|Sandy|4|2007.0|financials|0|0|0
56|Chippmunk|750000.0|Incentives|750000|operating|USA|Los Angeles|1|2013.0|financials|0|0|0
57|CircleUp|1500000.0|Venture Capital|23000000|operating|USA|San Francisco|3|2011.0|financials|0|0|0
58|CityOdds|183352.0|Financial Services|183352|closed|GBR|London|1|2005.0|financials|0|0|0
59|CitySpade|200000.0|Real Estate|200000|operating|USA|New York|1|2014.0|financials|0|0|0
60|ClassWallet|1200000.0|Finance|1835000|operating|USA|Miami|3|2014.0|financials|0|0|0
61|Clearhaus|594400.0|Finance|6106167|operating|DNK|Aarhus|2|2011.0|financials|0|0|0
62|Clinkle|5000000.0|Payments|30515000|operating|USA|San Francisco|4|2011.0|financials|0|0|0
63|CloudSway|1400000.0|Finance|1400000|operating|USA|Tacoma|2|2011.0|financials|0|0|0
64|Cloudstaff|500000.0|Accounting|500000|operating|AUS|Eight Mile Plains|1|2010.0|financials|0|0|0
65|CoinPass|500000.0|P2P Money Transfer|500000|operating|JPN|Tokyo|1|2014.0|financials|0|0|0
66|Coinbase|600000.0|Personal Finance|31709590|operating|USA|San Francisco|3|2012.0|financials|0|0|0
67|Coinfloor|156286.0|Bitcoin|491944|operating|GBR|London|2|2013.0|financials|0|0|0
68|Coinkite|121753.0|Bitcoin|121753|operating|CAN|Toronto|1|2012.0|financials|0|0|0
69|Coinplug|400000.0|Finance|3300000|operating|KOR|Seoul|3|2013.0|financials|0|0|0
70|Coinsetter|500000.0|Finance|3052975|operating|USA|New York|4|2012.0|financials|0|0|0
71|Coinzone|1373909.0|Mobile Payments|1373909|operating|USA|Menlo Park|1|2014.0|financials|0|0|0
72|Community Sourced Capital|17000.0|Finance Technology|17000|operating|USA|Seattle|1|2012.0|financials|0|0|0
73|CondoDomain|250000.0|Real Estate|250000|operating|USA|New York|1|2005.0|financials|0|0|0
74|Conjecta|100000.0|Finance|100000|operating|USA|Charlotte|1|2011.0|financials|0|0|0
75|Contemporary Analysis|15798.0|Finance|15798|operating|USA|Omaha|1|2008.0|financials|0|0|0
76|Contigo Financial|15000.0|Finance|15000|acquired|USA|Nashville|1|2012.0|financials|0|0|0
77|Contix|1585000.0|Finance Technology|1585000|operating|USA|Honolulu|1|2012.0|financials|0|0|0
78|Creisoft, Inc.|170000.0|Real Estate|245000|operating|USA|Charlotte|2|2012.0|financials|0|0|0
79|Cribspot|660000.0|Real Estate|1147034|operating|USA|Detroit|2|2013.0|financials|0|0|0
80|CropUp|1000000.0|Payments|1000000|operating|USA|Brooklyn|1|2012.0|financials|0|0|0
81|CrowdTransfer|40000.0|P2P Money Transfer|40000|operating|CHL|Santiago|1|2014.0|financials|0|0|0
82|Crowdnetic|1900000.0|Finance|1900000|operating|USA|New York|1|2011.0|financials|0|0|0
83|DBJ Financial Services|115000.0|Finance|115000|operating|||1|2008.0|financials|0|0|0
84|DRAFT|650000.0|Investment Management|650000|operating|USA|Austin|1|2014.0|financials|0|0|0
85|DataFox|1800000.0|Venture Capital|1800000|operating|USA|Mountain View|2|2013.0|financials|0|0|0
86|Dato Capital|197550.0|Finance|276553|operating|ESP|Madrid|2|2007.0|financials|0|0|0
87|Deal Co-op|16000.0|Finance|516000|operating|USA|Seattle|2|2010.0|financials|0|0|0
88|DebtMarket|500000.0|Finance|4352758|acquired|||5|2007.0|financials|0|0|0
89|Decimal Software Ltd|952380.0|Finance Technology|19569145|operating|AUS|Sydney|6|2006.0|financials|0|0|0
90|Devonshire REIT|350000.0|Commercial Real Estate|350000|operating|USA|Whitehouse|1|2009.0|financials|0|0|0
91|Dibbz|161671.0|Monetization|161671|operating|GBR|London|2|2013.0|financials|0|0|0
92|DirectMoney|98000.0|Finance|98000|closed|AUS|Balmain|1|2006.0|financials|0|0|0
93|Disruption Corp|750000.0|Venture Capital|2250000|operating|USA|Ashburn|2|2013.0|financials|0|0|0
94|Draft|600000.0|Trading|2100000|acquired|USA|Cambridge|3|2009.0|financials|0|0|0
95|DriveWealth|4000000.0|Wealth Management|4000000|operating|USA|Chatham|1|2012.0|financials|0|0|0
96|EZBOB|706716.0|Finance Technology|9746991|operating|GBR|London|3|2011.0|financials|0|0|0
97|Easiest Credit Card To Get Approved For|25000.0|Credit Cards|25000|closed|USA|Brentwood|1|2012.0|financials|0|0|0
98|Ecelles Carson|1500000.0|Stock Exchanges|1500000||||1|2000.0|financials|0|0|0
99|Eferio|614900.0|Mobile Payments|614900|operating|SWE|Malmö|1|2012.0|financials|0|0|0
100|Ekotrope|1700000.0|Real Estate|2605000|operating|USA|Cambridge|2|2010.0|financials|0|0|0
101|Elliptic|2000000.0|Bitcoin|2000000|operating|GBR|London|2|2013.0|financials|0|0|0
102|Endurance Lending Network|1500000.0|Finance Technology|1500000|acquired|USA|San Francisco|1|2011.0|financials|0|0|0
103|Epiphyte|20352.0|Banking|20352|operating|USA|San Francisco|1|2013.0|financials|0|0|0
104|Equidam|297176.0|Finance|375790|operating|NLD|Rotterdam|2|2012.0|financials|0|0|0
105|EquityZen|150000.0|Financial Services|150000|operating|USA|New York|1|2013.0|financials|0|0|0
106|Events Core|50000.0|Finance|50000|operating|SGP|Singapore|1|2008.0|financials|0|0|0
107|EverZero|1000000.0|Credit Cards|1000000|operating|||1|2014.0|financials|0|0|0
108|Evince|968000.0|Finance|968000|operating|||1|2004.0|financials|0|0|0
109|Executive Intermediary|1000.0|Venture Capital|1000|closed|USA|New York|1|2007.0|financials|0|0|0
110|Expensify|1000000.0|Finance Technology|10200000|operating|USA|San Francisco|3|2008.0|financials|0|0|0
111|FaithStreet|1100000.0|Finance|1100000|operating|USA|New York|1|2010.0|financials|0|0|0
112|Family Archival Solutions|150000.0|Financial Services|150000|operating|USA|Manhattan Beach|2|2013.0|financials|0|0|1
113|FanFueled|1000000.0|Incentives|1100000|operating|USA|Chicago|3|2010.0|financials|0|0|0
114|Figgu|40000.0|Trading|40000|operating|CHL|Santiago|1|2013.0|financials|0|0|0
115|Figo Pet Insurance|900000.0|Insurance|900000|operating|USA|Chicago|1|2013.0|financials|0|0|0
116|Financeit|400000.0|Financial Services|21400000|operating|CAN|Toronto|6|2007.0|financials|0|0|0
117|Financetesetudes|148323.0|Financial Services|148323|operating|FRA|Paris|1|2010.0|financials|0|0|0
118|Findersfee|13568.0|Price Comparison|13568|operating|IRL|Dublin|1|2014.0|financials|0|0|0
119|Finexkap|1323515.0|Financial Services|23783512|operating|FRA|Paris|3|2012.0|financials|0|0|0
120|Fingooroo|150000.0|Credit|150000|operating|||1|2013.0|financials|0|0|0
121|FlagTap|150000.0|Incentives|150000|operating|USA|San Francisco|2|2012.0|financials|0|0|0
122|Flextrip|350000.0|Finance|350000|acquired|USA|Boulder|2|2010.0|financials|0|0|0
123|Flyer, Inc.|40000.0|Real Estate|40000|operating|USA|Mountain View|2|2012.0|financials|0|0|0
124|Fortress Risk Management|600000.0|Finance|4100000|operating|USA|South Glastonbury|2|2010.0|financials|0|0|0
125|Fosbury|350000.0|Finance|350000||NLD|Utrecht|1|2012.0|financials|0|0|0
126|FreshPay|500000.0|Payments|500000|operating|||1|2013.0|financials|0|0|0
127|Front Desk HQ|3200000.0|Payments|7200000|operating|USA|Seattle|2|2012.0|financials|0|0|0
128|Fundbase|550000.0|Finance|1200000|operating|||2|2013.0|financials|0|0|0
129|FundersClub|6500000.0|Finance|6500000|operating|USA|San Francisco|1|2012.0|financials|0|0|0
130|Fundology|500000.0|Finance|500000|operating|USA|Chicago|1|2012.0|financials|0|0|0
131|Fundrise|2000000.0|Finance Technology|40985000|operating|USA|Washington|5|2010.0|financials|0|0|0
132|Futuretec|8065397.0|Finance|8065397|closed|GBR|Aberdeen|1|2005.0|financials|0|0|0
133|Fuze Network|1200000.0|Finance|3700000|acquired|USA|Salt Lake City|2|2010.0|financials|0|0|0
134|GMH Ventures|2545000.0|Finance|2545000||USA|Newtown Square|1|2008.0|financials|0|0|0
135|GROUNDFLOOR|1000000.0|Real Estate|1000000|operating|USA|Raleigh|2|2013.0|financials|0|0|0
136|GeoPal Solutions|1929900.0|Intellectual Asset Management|1929900|operating|IRL|Dublin|1|2011.0|financials|0|0|1
137|GoCoin|550000.0|Bitcoin|2050000|operating|SGP|Singapore|2|2013.0|financials|0|0|0
138|GoMiles|12000.0|Finance|12000|acquired|USA|Seattle|2|2010.0|financials|0|0|0
139|GoSporty|110000.0|Venture Capital|110000|operating|DEU|Berlin|1|2013.0|financials|0|0|0
140|GogoCoin|105000.0|Bitcoin|105000|operating|USA|Oakland|1|2013.0|financials|0|0|0
141|Gozent|200000.0|Real Estate|200000|operating|USA|Chicago|1|2013.0|financials|0|0|0
142|GreenCloud|100000.0|Financial Services|100000|operating|USA|New York|1|2010.0|financials|0|0|0
143|Gucash|250000.0|Payments|250000|closed|ARG|Buenos Aires|1|2010.0|financials|0|0|0
144|Habitissimo|55668.0|Real Estate|866950|operating|ESP|Palma De Mallorca|4|2009.0|financials|0|0|0
145|HaveMyShift|12000.0|Finance|12000|operating|USA|Chicago|1|2009.0|financials|0|0|0
146|Heckyl|250000.0|Finance|4750000|operating|IND|Mumbai|3|2010.0|financials|0|0|0
147|Hedgy|765000.0|Bitcoin|765000|operating|USA|San Mateo|1|2014.0|financials|0|0|0
148|Highlighter|100000.0|Finance|730000|operating|USA|Seattle|4|2010.0|financials|0|0|0
149|Hightower|2120000.0|Real Estate|8620000|operating|USA|New York|2|2013.0|financials|0|0|0
150|HomeJab|150000.0|Real Estate|150000|operating|USA|Philadelphia|1|2012.0|financials|0|0|0
151|HomeLight|1500000.0|Real Estate|1500000|operating|USA|San Francisco|1|2011.0|financials|0|0|0
152|Homesnap|2000000.0|Real Estate|5500000|operating|USA|Washington|2|2008.0|financials|0|0|0
153|Honest Buildings|2000000.0|Commercial Real Estate|12250000|operating|USA|New York|4|2011.0|financials|0|0|0
154|Houserie|250000.0|Real Estate|250000|operating|USA|Pleasanton|1|2013.0|financials|0|0|0
155|Hybrid Security|500000.0|Finance|500000|operating|ISR|Tel Aviv|1|2010.0|financials|0|0|0
156|InCast|49407.0|Payments|49407|operating|||1|2014.0|financials|0|0|0
157|Indiegogo|1500000.0|Finance|56500000|operating|USA|San Francisco|5|2008.0|financials|0|0|0
158|Infinity Box|18000.0|Payments|118000|acquired|USA|Tampa|2|2006.0|financials|0|0|0
159|Inhabi|14000.0|Real Estate|14000|operating|USA|Philadelphia|1|2011.0|financials|0|0|0
160|Inspire Commerce|500000.0|Finance|500000|operating|USA|Boulder|1|2008.0|financials|0|0|0
161|Instamojo|500000.0|Payments|500000|operating|IND|Mumbai|3|2012.0|financials|0|0|0
162|Instapagar|550000.0|Finance|550000|closed|BRA|São Paulo|1|2011.0|financials|0|0|0
163|IntenseDebate|15000.0|Finance|515000|acquired|USA|Boulder|2|2006.0|financials|0|0|0
164|InvestGlass|100000.0|Finance|100000|operating|CHE|Plan-les-ouates|1|2013.0|financials|0|0|0
165|Ipropertyz|75000.0|Real Estate|75000|operating|USA|Orlando|1|2013.0|financials|0|1|0
166|JustInvesting|1136438.0|Finance|1136438|operating|||1|2012.0|financials|0|0|0
167|KFL Investment Management|2000000.0|Finance|2000000|operating|GBR|London|1|2010.0|financials|0|0|0
168|Kenzei|400000.0|Accounting|400000|acquired|USA|San Francisco|1|2008.0|financials|0|0|0
169|Kodeza|17000.0|Finance Technology|17000|operating|||1|2013.0|financials|0|0|0
170|Kueski|1300000.0|Credit|1300000|operating|MEX|Guadalajara|1|2012.0|financials|0|0|0
171|LIFEmee|100000.0|Intellectual Asset Management|100000|operating|JPN|Tokyo|1|2009.0|financials|0|0|0
172|LIVELENZ|980392.0|Incentives|1878595|operating|CAN|Bedford|2|2010.0|financials|0|0|0
173|LaComunity|155220.0|Real Estate|155220|operating|ESP|Barcelona|1|2011.0|financials|0|0|0
174|LearnVest|1100000.0|Financial Services|69030000|operating|USA|New York|5|2007.0|financials|0|0|0
175|LedgerPal Inc.|250000.0|Accounting|250000|operating|||1|2009.0|financials|0|0|0
176|LegitTrader|25000.0|Finance|25000|operating|USA|San Francisco|1|2014.0|financials|0|0|0
177|Lendinero|30000.0|Finance|30000|operating|USA|Miami|1|2012.0|financials|0|0|0
178|Lending Works|5303380.0|Finance|5303380|operating|GBR|London|1|2012.0|financials|0|0|0
179|LendingStandard|100000.0|Commercial Real Estate|200000|operating|USA|Kansas City|2|2012.0|financials|0|0|0
180|LendingStar|300000.0|Finance|300000|operating|UKR|Kyiv|1|2013.0|financials|0|0|0
181|Lendsquare|100000.0|Social Fundraising|100000|operating|USA|Chicago|1|2011.0|financials|0|0|0
182|Leondra music|864076.0|Financial Exchanges|938838|operating|DEU|Berlin|2|2013.0|financials|0|0|0
183|LibraTax|500000.0|Finance Technology|500000|operating|||1|2014.0|financials|0|0|0
184|Liquid Scenarios|112000.0|Venture Capital|112000|operating|USA|Boulder|1|2009.0|financials|0|0|0
185|Livewire|225000.0|Financial Services|225000|operating|USA|Austin|1|2012.0|financials|0|0|0
186|Loandesk|18867.0|Finance|18867|operating|AUS|North Sydney|1|2013.0|financials|0|0|0
187|Londons Holiday Apartments|163890.0|Real Estate|163890|operating|GBR|London|1|2011.0|financials|1|0|0
188|Lovely|2000000.0|Real Estate|4500000|acquired|USA|San Francisco|3|2011.0|financials|0|0|0
189|Lumatic|13000.0|Finance|813000|operating|USA|San Francisco|4|2009.0|financials|0|0|0
190|Lánzanos|320125.0|Finance|320125|operating|ESP|Ciudad Real|1|2010.0|financials|0|0|0
191|MDC Media|1500000.0|Wealth Management|2950000|operating|CHE|Zürich|3|2012.0|financials|0|0|0
192|MNG International Investments|1500000.0|Venture Capital|1500000|operating|HUN|Budapest|1|2012.0|financials|0|0|0
193|MOBEXO|1800000.0|Finance|1800000|operating|HKG|Hong Kong|1|2010.0|financials|0|0|0
194|Magick.nu|250000.0|Finance Technology|450000|operating|DNK|Copenhagen|2|2013.0|financials|0|0|0
195|MakeSpace|2100000.0|Commercial Real Estate|10100000|operating|USA|New York|2|2013.0|financials|0|0|0
196|MarketInvoice|2531304.0|Finance Technology|2531304|operating|GBR|London|1|2011.0|financials|0|0|0
197|MarketRiders|200000.0|Personal Finance|200000|operating|USA|Palo Alto|1|2008.0|financials|0|0|0
198|Master The Gap|725000.0|Trading|725000|operating|USA|Morrisville|1|2008.0|financials|0|0|0
199|Match Capital|255885.0|Finance|255885|operating|GBR|London|1|2012.0|financials|0|0|0
200|Matchfund|40000.0|Finance|40000|operating|USA|San Jose|1|2008.0|financials|0|0|0
201|Melotic|1175000.0|Bitcoin|1175000|operating|HKG|Hong Kong|1|2014.0|financials|0|0|0
202|Mesitis|775000.0|Trading|775000|operating|SGP|Singapore|1|2013.0|financials|0|0|0
203|Mint|325000.0|Finance|31775000|acquired|USA|Mountain View|5|2011.0|financials|0|0|0
204|MobiKwik|250000.0|Payments|30250000|operating|IND|Gurgaon|2|2009.0|financials|0|0|0
205|Mode De Faire|16000.0|Trading|16000|operating|USA|Dallas|1|2012.0|financials|0|0|0
206|Money Mover|182941.0|Financial Services|434284|operating|GBR|Cambridge|2|2013.0|financials|0|0|0
207|MoneyFarm|967750.0|Financial Services|5613564|operating|USA|Milano|3|2011.0|financials|0|0|0
208|Moni Technologies|120000.0|Finance|120000|operating|GBR|London|1|2013.0|financials|0|0|0
